t,adams_bashforth,euler,heun,pred_corr,runge_kutta4,runge_kutta5
1.8029999999999116,7.16093850883226e-14,0.00022274211360873153,5.76987465583656e-08,6.350475700855895e-14,6.583622536027178e-14,6.38378239159465e-14
1.8039999999999115,7.16093850883226e-14,0.0002228958646287582,5.7727158497833386e-08,6.350475700855895e-14,6.583622536027178e-14,6.38378239159465e-14
1.8049999999999113,7.172040739078511e-14,0.00022304944527196113,5.775552325282263e-08,6.361577931102147e-14,6.59472476627343e-14,6.394884621840902e-14
1.8059999999999112,7.172040739078511e-14,0.0002232028558211141,5.778384082333332e-08,6.361577931102147e-14,6.59472476627343e-14,6.394884621840902e-14
1.8069999999999111,7.183142969324763e-14,0.0002233560965588799,5.7812111542432376e-08,6.372680161348399e-14,6.605826996519681e-14,6.405986852087153e-14
1.807999999999911,7.183142969324763e-14,0.0002235091677669221,5.784033529909749e-08,6.372680161348399e-14,6.605826996519681e-14,6.405986852087153e-14
1.808999999999911,7.183142969324763e-14,0.00022366206972634917,5.7868512204350964e-08,6.372680161348399e-14,6.605826996519681e-14,6.405986852087153e-14
1.8099999999999108,7.194245199571014e-14,0.0002238148027178255,5.7896642480237404e-08,6.38378239159465e-14,6.616929226765933e-14,6.417089082333405e-14
1.8109999999999107,7.205347429817266e-14,0.00022396736702123832,5.792472623777911e-08,6.394884621840902e-14,6.628031457012185e-14,6.428191312579656e-14
1.8119999999999106,7.216449660063518e-14,0.00022411976291591973,5.795276347697609e-08,6.405986852087153e-14,6.639133687258436e-14,6.439293542825908e-14
1.8129999999999105,7.216449660063518e-14,0.00022427199068053572,5.7980754308850635e-08,6.405986852087153e-14,6.639133687258436e-14,6.439293542825908e-14
1.8139999999999104,7.216449660063518e-14,0.00022442405059308612,5.8008698844425055e-08,6.405986852087153e-14,6.639133687258436e-14,6.439293542825908e-14
1.8149999999999102,7.227551890309769e-14,0.00022457594293123773,5.803659730574395e-08,6.417089082333405e-14,6.650235917504688e-14,6.45039577307216e-14
1.8159999999999101,7.238654120556021e-14,0.0002247276679716581,5.806444958178503e-08,6.428191312579656e-14,6.661338147750939e-14,6.461498003318411e-14
1.81699999999991,7.238654120556021e-14,0.00022487922599057075,5.809225589459288e-08,6.428191312579656e-14,6.661338147750939e-14,6.461498003318411e-14
1.81799999999991,7.249756350802272e-14,0.00022503061726386608,5.812001635518982e-08,6.439293542825908e-14,6.672440377997191e-14,6.472600233564663e-14
1.8189999999999098,7.260858581048524e-14,0.0002251818420663243,5.814773107459814e-08,6.45039577307216e-14,6.683542608243442e-14,6.483702463810914e-14
1.8199999999999097,7.260858581048524e-14,0.00022533290067250356,5.817540005281785e-08,6.45039577307216e-14,6.683542608243442e-14,6.483702463810914e-14
1.8209999999999096,7.271960811294775e-14,0.00022548379335618485,5.820302351189355e-08,6.461498003318411e-14,6.694644838489694e-14,6.494804694057166e-14
1.8219999999999095,7.271960811294775e-14,0.00022563452039059406,5.823060145182524e-08,6.461498003318411e-14,6.694644838489694e-14,6.494804694057166e-14
1.8229999999999094,7.283063041541027e-14,0.00022578508204840197,5.825813409465752e-08,6.472600233564663e-14,6.705747068735946e-14,6.505906924303417e-14
1.8239999999999092,7.294165271787278e-14,0.00022593547860161323,5.82856214403904e-08,6.483702463810914e-14,6.716849298982197e-14,6.517009154549669e-14
1.8249999999999091,7.30526750203353e-14,0.00022608571032156632,5.831306360004618e-08,6.494804694057166e-14,6.727951529228449e-14,6.52811138479592e-14
1.825999999999909,7.316369732279782e-14,0.0002262357774792667,5.8340460684647155e-08,6.505906924303417e-14,6.7390537594747e-14,6.539213615042172e-14
1.826999999999909,7.316369732279782e-14,0.00022638568034472062,5.8367812805215635e-08,6.505906924303417e-14,6.7390537594747e-14,6.539213615042172e-14
1.8279999999999088,7.327471962526033e-14,0.00022653541918782327,5.839512007277392e-08,6.517009154549669e-14,6.750155989720952e-14,6.550315845288424e-14
