proper,id,hip,hd,hr,gl,bf,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
Alphard,46259,46390,81797,3748,,30Alp Hya,9.45979,-8.658603,55.2792,-14.49,33.25,-4,1.99,-1.723,K3III,1.44,-43.003468,33.722848,-8.322089,4.52E-06,1.39E-06,9.42E-06,2.47656718,-0.151121122,-7.02E-08,1.61E-07,Alp,30,Hya,1,46259,,425.7944536,,,
Zubeneschemali,74556,74785,135742,5685,,27Bet Lib,15.283449,-9.382917,56.7537,-96.39,-20.76,-35,2.61,-1.16,B8V,-0.071,-36.549398,-42.420251,-9.252607,3.57E-06,4.48E-05,2.00E-07,4.001197527,-0.163762802,-4.67E-07,-1.01E-07,Bet,27,Lib,1,74556,,253.512863,,,
Scheat,113521,113881,217906,8775,,53Bet Peg,23.062901,28.082789,60.0962,187.76,137.61,9,2.44,-1.454,M2II-IIIvar,1.655,51.433435,-12.877612,28.290136,2.86E-06,5.57E-05,3.97E-05,6.037853304,0.490137132,9.10E-07,6.67E-07,Bet,53,Peg,1,113521,,332.3533036,Bet,2.584,2.384
Mirach,5436,5447,6860,337,Gl 53.3,43Bet And,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0IIIvar,1.576,46.946371,14.741814,35.255129,2.23E-06,5.47E-05,-2.73E-05,0.304261793,0.621696012,8.51E-07,-5.44E-07,Bet,43,And,1,5436,,474.2419853,,,
Izar,71879,72105,129988,5505,,36Eps Boo,14.749784,27.074222,62.1118,-50.65,20,-23,2.35,-1.616,A0,0.966,-41.582771,-36.462926,28.269741,7.75E-06,2.71E-05,-5.34E-06,3.861484338,0.472534323,-2.46E-07,9.70E-08,Eps,36,Boo,1,71879,,385.8335599,,,
Zaurak,18497,18543,25025,1231,,34Gam Eri,3.967157,-13.508515,62.3441,60.51,-111.34,62,2.97,-1.004,M1IIIb Ca-1,1.588,30.760217,52.235828,-14.56308,1.15E-05,5.56E-05,-4.75E-05,1.038599284,-0.235768069,2.93E-07,-5.40E-07,Gam,34,Eri,1,18497,,219.5836501,Gam,3,2.95
Matar,111804,112158,215182,8650,,44Eta Peg,22.716704,30.221245,65.703,13.11,-26.11,4,2.93,-1.158,G2II-III..,0.852,53.59916,-18.717064,33.070991,8.67E-06,1.40E-06,-5.13E-06,5.947219325,0.527460231,6.36E-08,-1.27E-07,Eta,44,Peg,1,111804,,253.0463049,,,
Nunki,92564,92855,175191,7121,,34Sig Sgr,18.92109,-26.296722,69.8324,13.87,-52.65,-11,2.05,-2.17,B2.5V,-0.134,14.950858,-60.794062,-30.937099,2.70E-07,1.86E-05,-1.10E-05,4.953529829,-0.458964384,6.72E-08,-2.55E-07,Sig,34,Sgr,1,92564,,642.6877173,,,
Shedir,3172,3179,3712,168,,18Alp Cas,0.675116,56.537331,69.979,50.36,-32.17,-4,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,3.74E-06,1.80E-05,-9.43E-06,0.176744881,0.986762576,2.44E-07,-1.56E-07,Alp,18,Cas,1,3172,,542.0008904,Alp,2.25,2.23
Ras Elased Australis,47772,47908,84441,3873,,17Eps Leo,9.764188,23.774255,75.643,-46.09,-9.57,4,2.97,-1.424,G0II,0.808,-57.700126,38.244772,30.494289,5.04E-06,1.69E-05,-1.56E-06,2.556258344,0.41493902,-2.23E-07,-4.64E-08,Eps,17,Leo,1,47772,,323.2957534,,,
Menkar,14100,14135,18884,911,,92Alp Cet,3.037992,4.089734,76.3942,-11.81,-78.76,-26,2.54,-1.875,M2III,1.63,53.342561,54.414384,5.448321,-1.40E-05,-2.05E-05,-3.10E-05,0.795344514,0.071379323,-5.73E-08,-3.82E-07,Alp,92,Cet,1,14100,,489.7788194,Alp,2.561,2.521
Spica,65269,65474,116658,5056,,67Alp Vir,13.419883,-11.161322,76.5697,-42.5,-31.73,1,0.98,-3.44,B1V,-0.235,-69.990853,-27.285826,-14.82176,-4.54E-06,1.52E-05,-1.18E-05,3.513317218,-0.194801818,-2.06E-07,-1.54E-07,Alp,67,Vir,1,65269,,2070.141349,Alp,1.001,0.961
Bellatrix,25273,25336,35468,1790,,24Gam Ori,5.418851,6.349702,77.3994,-8.75,-13.28,18,1.64,-2.804,B2III,-0.224,11.658576,76.036136,8.56012,6.10E-06,1.81E-05,-2.92E-06,1.418651834,0.11082321,-4.24E-08,-6.44E-08,Gam,24,Ori,1,25273,,1152.391377,,,
Phakt,26569,26634,37795,1956,,Alp Col,5.660817,-34.074108,80.1282,-0.1,-24.05,35,2.65,-1.869,B7IV,-0.12,5.885917,66.110037,-44.89318,2.20E-06,2.43E-05,-2.78E-05,1.481998327,-0.594705371,-4.85E-10,-1.17E-07,Alp,,Col,1,26569,,487.0796665,,,
Becrux,62239,62434,111123,4853,,Bet Cru,12.795359,-59.688764,85.3971,-48.24,-12.82,16,1.25,-3.407,B0.5III,-0.238,-42.168771,-8.909619,-73.723149,-7.73E-06,1.88E-05,-1.68E-05,3.349817027,-1.04176545,-2.34E-07,-6.22E-08,Bet,,Cru,1,62239,,2008.167804,Bet,1.267,1.237
Mira,10800,10826,14386,681,,68Omi Cet,2.322442,-2.977643,91.659,10.33,-239.48,64,6.47,1.659,M5e-M9e,0.966,75.131148,52.288786,-4.761374,4.65E-05,3.80E-05,-0.00010967,0.608013998,-0.051969667,5.01E-08,-1.16E-06,Omi,68,Cet,1,10800,,18.89731054,Omi,8.511,4.871
Sargas,85965,86228,159532,6553,,The Sco,17.62198,-42.997824,92.081,6.06,-0.95,1,1.86,-2.961,F1II,0.406,-6.654055,-67.016643,-62.796539,2.65E-06,-7.20E-07,-1.01E-06,4.613423665,-0.750453596,2.94E-08,-4.61E-09,The,,Sco,1,85965,,1331.680376,,,
Thuban,68537,68756,123299,5291,,11Alp Dra,14.073165,64.37585,92.9368,-56.52,17.19,-13,3.67,-1.171,A0III SB,-0.049,-34.416017,-20.758849,83.796391,-2.25E-06,2.84E-05,-8.64E-06,3.684345906,1.123570548,-2.74E-07,8.33E-08,Alp,11,Dra,1,68537,,256.0943517,,,
Canopus,30365,30438,45348,2326,,Alp Car,6.399195,-52.69566,94.7867,19.99,23.67,21,-0.62,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-1.14E-05,2.06E-05,-1.05E-05,1.675305352,-0.919712775,9.69E-08,1.15E-07,Alp,,Car,1,30365,,13854.79168,,-0.547,-0.667
Acrux,60530,60718,108248,4730,,Alp1Cru,12.443311,-63.099092,98.7167,-35.37,-14.73,-11,0.77,-4.202,B0.5IV,-0.243,-44.363755,-5.171957,-88.034513,9.34E-06,1.81E-05,6.84E-06,3.257651282,-1.101286903,-1.71E-07,-7.14E-08,Alp-1,,Cru,1,60530,,4176.37993,,,
Kaus Meridionalis,89653,89931,168454,6859,,19Del Sgr,18.3499,-29.828103,106.6098,29.96,-26.38,-20,2.72,-2.419,K3III,1.38,8.460232,-92.098382,-53.027575,1.32E-05,2.58E-05,-1.65E-06,4.803992513,-0.52059861,1.45E-07,-1.28E-07,Del,19,Sgr,1,89653,,808.3510374,,,
Rasalgethi,84086,84345,156014,6406,,64Alp1Her,17.244127,14.390333,110.2536,-6.71,32.78,-33,2.78,-2.432,M5IIvar,1.164,-20.995512,-104.709944,27.400863,3.77E-06,3.70E-05,8.58E-06,4.514501981,0.251158688,-3.25E-08,1.59E-07,Alp-1,64,Her,1,84086,,818.0879579,Alp,2.967,2.567
Rastaban,85410,85670,159181,6536,,23Bet Dra,17.507213,52.301387,116.5501,-15.59,11.57,-20,2.79,-2.543,G2II,0.954,-9.169333,-70.678899,92.218765,-6.46E-06,1.87E-05,-1.22E-05,4.583377712,0.912831407,-7.56E-08,5.61E-08,Bet,23,Dra,1,85410,,906.1498022,,,
Atria,82022,82273,150798,6217,,Alp TrA,16.811077,-69.027715,119.7605,17.85,-32.92,-3,1.91,-3.482,K2IIb-IIIa,1.447,-13.127447,-40.804561,-111.826781,1.57E-05,1.49E-05,-3.98E-06,4.401129586,-1.204760901,8.65E-08,-1.60E-07,Alp,,TrA,1,82022,,2151.79057,,,
Algenib,1065,1067,886,39,,88Gam Peg,0.220598,15.183596,120.048,4.7,-8.24,4,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,5.04E-06,3.03E-06,-3.56E-06,0.057752413,0.26500374,2.28E-08,-3.99E-08,Gam,88,Peg,1,1065,,926.4031007,Gam,2.846,2.816
Hadar,68483,68702,122451,5267,,Bet Cen,14.063729,-60.373039,120.1923,-33.96,-25.06,6,0.61,-4.789,B1III,-0.231,-50.954051,-30.56287,-104.478695,-1.89E-06,2.19E-05,-1.26E-05,3.68187566,-1.053708314,-1.65E-07,-1.21E-07,Bet,,Cen,1,68483,,7171.334827,Bet,0.634,0.594
Almaak,9618,9640,12533,603,,57Gam1And,2.064984,42.329725,120.4819,43.08,-50.85,-12,2.1,-3.305,B8V,1.37,76.368059,45.840864,81.131974,-3.58E-06,2.72E-05,-3.02E-05,0.540611677,0.738793067,2.09E-07,-2.47E-07,Gam-1,57,And,1,9618,,1828.100216,,,
Tarazed,96970,97278,186791,7525,,50Gam Aql,19.770994,10.613261,121.0654,15.72,-3.08,-2,2.72,-2.695,K3II,1.507,53.215608,-106.431852,22.297682,7.50E-06,5.63E-06,-2.15E-06,5.176034186,0.185236351,7.62E-08,-1.49E-08,Gam,50,Aql,1,96970,,1042.317429,,,
Alcyone,17661,17702,23630,1165,,25Eta Tau,3.79141,24.105137,123.6094,19.35,-43.11,10,2.85,-2.61,B7III,-0.086,61.664507,94.489136,50.483636,1.16E-06,2.30E-05,-1.94E-05,0.992588775,0.420714009,9.38E-08,-2.09E-07,Eta,25,Tau,1,17661,,963.8290236,,,
Graffias,78580,78820,144217,5984,,8Bet1Sco,16.09062,-19.805453,123.9157,-6.75,-24.89,-1,2.56,-2.906,B0.5V,-0.065,-55.881427,-102.320756,-41.98604,-6.70E-07,7.23E-06,-1.37E-05,4.212514383,-0.34567037,-3.27E-08,-1.21E-07,Bet-1,8,Sco,1,78580,,1265.901749,,,
Adhara,33492,33579,52089,2618,,21Eps CMa,6.977097,-28.972084,124.2236,2.63,2.29,27,1.5,-3.971,B2II,-0.211,-27.497987,105.141608,-60.171969,-7.81E-06,2.36E-05,-1.22E-05,1.826599649,-0.505658252,1.28E-08,1.11E-08,Eps,21,CMa,1,33492,,3375.981049,,,
Polaris,11734,11767,8890,424,,1Alp UMi,2.52975,89.264109,132.626,44.22,-11.74,-17,1.97,-3.643,F7:Ib-IIv SB,0.636,1.3431,1.047629,132.614909,-1.17E-05,2.69E-05,-1.75E-05,0.662287075,1.557952613,2.14E-07,-5.69E-08,Alp,1,UMi,1,11734,,2495.743795,Alp,1.993,1.953
Albireo,95648,95947,183912,7417,,6Bet1Cyg,19.512023,27.959681,133.1558,-7.09,-5.63,-24,3.05,-2.572,K3II+...,1.088,45.350466,-108.51838,62.430012,-1.19E-05,1.67E-05,-1.47E-05,5.108235547,0.487988492,-3.44E-08,-2.73E-08,Bet-1,6,Cyg,1,95648,,930.6791832,,,
