,Name,Epoch,a,e,i,omega,Omega,M,H,G
4981,Bartini,58600,2.7813714,0.17749607,4.63631,129.38241000000002,230.76729,335.6538815,13.1,0.15
4982,Schroeteria,58600,2.3223399,0.02913365,1.89712,252.25635,306.08639,85.80950159999998,13.4,0.15
4983,Patrickmiller,58600,2.25371,0.20895807,1.97744,66.60647,257.00551,62.5134993,14.5,0.15
4984,Fitzsimmons,58600,3.2529556,0.14056863,0.7996,23.94163,12.41774,239.8551562,13.0,0.15
4985,Osipovia,58600,2.5674644,0.21295619,5.6132800000000005,234.14196,214.45316,170.6464683,13.3,0.15
4986,Flamsteed,58600,2.2716452,0.06416619,7.586189999999998,272.35101000000003,313.13074,124.3481644,13.9,0.15
4987,Chushuho,58600,2.4054802,0.21501073,2.13688,186.16069,185.70858,128.5790501,13.8,0.15
4988,Joegoldstein,58600,2.5751505,0.18215866,12.33774,80.58264,316.61754,218.7200398,13.9,0.15
4989,Trombka,58600,2.2321908,0.17780307,3.88687,278.62051,353.31631,81.6424082,14.1,0.15
4990,Hansuess,58600,2.9984726,0.10268151,10.48398,5.94169,343.41147,321.96585560000005,12.7,0.15
4991,Kalman,58600,2.5742145,0.11267914,14.48446,57.44869,233.55893,38.8267847,12.9,0.15
4992,Cossard,58600,2.3687979,0.06073937,6.940289999999999,186.31327,36.63499,310.2297052,13.3,0.15
4993,Kisala,58600,2.9074533,0.19777874,1.7146099999999995,5.35662,31.351370000000006,26.9012958,13.6,0.15
4994,Griffin,58600,2.3423568,0.31169764,20.58753,88.81163000000002,322.03869,213.3670789,13.5,0.15
4995,Veisberg,58600,2.5455678,0.24195823,5.09682,275.97468,112.24335,345.5088288,13.3,0.15
4996,Ksana,58600,2.8711727,0.32995964,32.73295,57.71858,10.72656,218.8680206,13.0,0.15
4997,Kabashima,58600,3.0074391,0.0734604,9.90404,100.90174,352.22641,30.7577105,11.9,0.15
4998,MPC,58600,3.0154424,0.04021241,10.47359,344.67344,155.93311,72.6213186,12.1,0.15
4999,IAU,58600,2.5379052,0.26391148,6.26518,232.79721,150.92221,282.2823425,14.4,0.15
5000,EMP,58600,2.6646619,0.170488,13.709129999999998,151.33669,169.90506000000005,126.1455399,12.2,0.15
5001,Marnix,58600,2.3277519,0.20573033,1.59245,172.25886,108.02791,10.3274217,13.7,0.15
5002,Silvanominuto,58600,2.2516688,0.09187359,1.85001,281.35615,255.71397,90.6620299,14.0,0.15
5003,Bruch,58600,2.2405529,0.0699211,3.34262,86.44619,21.58079,303.8218559,14.2,0.15
5004,Kegler,58600,2.251965,0.17224126,1.30708,109.08847,320.49732,337.0605285000001,14.6,0.15
5005,Teller,58600,3.1806106,0.07500362,7.651110000000001,30.67527,102.65792,159.5752656,11.7,0.15
5006,Keay,58600,2.6767227,0.18931225,13.35657,161.65712,169.02812,228.9264528,13.1,0.15
5007,Miyazawakenji,58600,2.2146207,0.06102529,5.2698800000000015,41.88898,142.40916,178.6896428,12.8,0.15
5008,Sethos,58600,2.3087987,0.15699122,1.47995,140.66906,44.10107,78.8142216,13.8,0.15
5009,Amenemhet,58600,2.7147315,0.20363411,14.657379999999998,43.17981,173.35961,167.56405049999995,12.5,0.15
5010,Ptah,58600,1.6355713,0.50007544,7.406910000000001,105.73979,10.76543,311.7759057,16.4,0.15
5011,Eurymedon,58600,5.2659714,0.08659107,4.9942400000000005,334.0555,34.78968,308.5299748,10.5,0.15
5012,Suzhousanzhong,58600,2.7616077,0.06745308,3.70066,15.474470000000002,45.3086,312.4981135,12.7,0.15
5013,Gorchakov,58600,3.1747866,0.22353762,2.36044,189.94949,104.98648,8.1442961,12.2,0.15
5014,Litke,58600,2.1753266,0.12464851,3.3541,262.40077,145.15408,184.135261,14.0,0.15
5015,Migirenko,58600,2.2957957,0.13162869,3.64502,97.68856,187.15124,75.30722800000002,13.6,0.15
5016,Tenchi,58600,3.1493536,0.07767548,16.13893,251.76805,140.91185,305.5278888,12.2,0.15
